
6:02 AM5/6/2026

,CP - Binh Duong,

Production Report
5/5/2026 6:00 AM - 5/6/2026 6:00 AM

_
Formula ID,026903,112001,112301,114601,203101,203501,204501,312021,314001,314011,314021,314081,320001,320041,320101,321001,321012,321101,332101,366201,366301,367301,433000,433060,433760,
Description,CLEAR LINE,510  22/04 BR PRESTR,510S 05/01 BR PRESTR,GT12 22/04  BR STR,549 16/03  MEAT DUCK,549F 24/02  MEAT DUCK,540F 26/2  MEAT DUCK,550PRO 22/04  CREEP FEED,551 24/04  PIG PRESTR,551GP 12/03  PIG PRESTR,551PRO  05/01 PIG PRESTR,6951 13/11 PIG STR (NASA),552S 1/4  PIG STR,6952  24/2  PIG STR (NASA),552SF 22/04  PIG STR,552 07/1 PIG STR,552M 20/1  PIG STR,552F 22/04  PIG STR,553S 7/1 PIG GROWER,566  4/5 PIG GEST,566F 3/04  PIG GEST,567SF 17/03  PIG LACT ,384 20/4 (005-18) DAIRY,BS04 20/4 (005-19) DAIRY STAR VINA,BS04A 20/4 (005-18) DAIRY NASA VINA,
Required (kgs),40380.00,51189.20,8460.00,25200.00,33873.70,25678.80,68076.54,16084.00,16308.00,16190.00,24120.00,25380.00,42220.00,16960.00,334568.39,84301.00,41994.00,890153.42,25395.79,84200.00,84000.00,128984.11,16800.00,8400.00,16800.00,2125716.96
Actual (kgs),40337.02,51143.43,8447.17,25098.92,33834.00,25685.33,68031.32,16097.52,16336.64,16172.09,24195.94,25295.90,42187.02,16986.25,334949.12,84057.56,41878.27,889966.16,25330.81,84002.51,83915.69,129005.16,16772.29,8422.03,16900.37,2125048.52
Deviation (kgs),-42.98,-45.77,-12.83,-101.08,-39.70,6.53,-45.22,13.52,28.64,-17.91,75.94,-84.10,-32.98,26.25,380.74,-243.44,-115.73,-187.26,-64.98,-197.49,-84.31,21.04,-27.71,22.03,100.37,-668.44
% Deviation,-0.11,-0.09,-0.15,-0.40,-0.12,0.03,-0.07,0.08,0.18,-0.11,0.31,-0.33,-0.08,0.15,0.11,-0.29,-0.28,-0.02,-0.26,-0.23,-0.10,0.02,-0.16,0.26,0.60,

,Tonnes,
,2125.05,
,Total Deviation Percent,
,-0.03,

